Experiment commencing at 2024-07-12T17:26:50.827438
2024-07-12 17:27:13.041090 PressureTestState 50.0
2024-07-12 17:27:13.080067 PressureTestState 7.35
2024-07-12 17:27:13.123043 PressureTestState 4.76
2024-07-12 17:27:13.163020 PressureTestState 20.0
2024-07-12 17:27:13.231981 PressureTestState 15.83
2024-07-12 17:27:13.273956 PressureTestState 45.83
2024-07-12 17:27:13.314935 PressureTestState 32.22
2024-07-12 17:27:13.353911 PressureTestState 9.38
2024-07-12 17:27:13.393888 PressureTestState 26.83
2024-07-12 17:27:13.433866 PressureTestState 22.64
2024-07-12 17:27:13.473843 PressureTestState 6.32
2024-07-12 17:27:13.511821 PressureTestState 47.27
2024-07-12 17:27:13.551797 PressureTestState 2.01
2024-07-12 17:27:13.592774 PressureTestState 3.57
2024-07-12 17:27:13.633751 PressureTestState 12.93
2024-07-12 17:27:13.672729 PressureTestState 7.74
2024-07-12 17:27:13.721700 PressureTestState 76.92
2024-07-12 17:27:13.759678 PressureTestState 0.59
2024-07-12 17:27:13.795659 PressureTestState 4.0
2024-07-12 17:27:13.845630 PressureTestState 11.82
2024-07-12 17:27:13.884608 PressureTestState 0.82
2024-07-12 17:27:13.930581 PressureTestState 25.0
2024-07-12 17:27:13.970558 PressureTestState 5.17
2024-07-12 17:27:14.006537 PressureTestState 26.09
2024-07-12 17:27:14.053512 PressureTestState 5.71
2024-07-12 17:27:14.091488 PressureTestState 28.26
2024-07-12 17:27:14.132465 PressureTestState 8.33
2024-07-12 17:27:14.172442 PressureTestState 7.23
2024-07-12 17:27:14.230410 PressureTestState 6.17
2024-07-12 17:27:14.273385 PressureTestState 187.5
2024-07-12 17:27:14.311364 PressureTestState 17.0
2024-07-12 17:27:14.352362 PressureTestState 12.2
2024-07-12 17:27:14.390342 PressureTestState 20.31
2024-07-12 17:27:14.424299 PressureTestState 16.67
2024-07-12 17:27:14.463300 PressureTestState 9.52
2024-07-12 17:27:14.502255 PressureTestState 22.73
2024-07-12 17:27:14.540234 PressureTestState 2.61
2024-07-12 17:27:14.582209 PressureTestState 11.11
2024-07-12 17:27:14.623185 PressureTestState 27.85
2024-07-12 17:27:14.675158 PressureTestState 1100.0
2024-07-12 17:27:14.714155 PressureTestState 13.16
2024-07-12 17:27:14.759108 PressureTestState 2.78
2024-07-12 17:27:14.800103 PressureTestState 240.0
2024-07-12 17:27:14.842060 PressureTestState 11.79
2024-07-12 17:27:14.883037 PressureTestState 13.64
2024-07-12 17:27:14.923014 PressureTestState 5.83
2024-07-12 17:27:14.969009 PressureTestState 12.07
2024-07-12 17:27:15.003967 PressureTestState 2.95
2024-07-12 17:27:15.043944 PressureTestState 0.0
2024-07-12 17:27:15.082922 PressureTestState 3.45
2024-07-12 17:27:15.121900 PressureTestState 20.0
2024-07-12 17:27:15.169872 PressureTestState 214.29
2024-07-12 17:27:15.233835 PressureTestState 0.0
2024-07-12 17:27:15.274812 PressureTestState 4.23
2024-07-12 17:27:15.312791 PressureTestState 2.27
2024-07-12 17:27:15.358764 PressureTestState 24.19
2024-07-12 17:27:15.397761 PressureTestState 2.79
2024-07-12 17:27:15.433746 PressureTestState 100.0
2024-07-12 17:27:15.476697 PressureTestState 5.62
2024-07-12 17:27:15.515698 PressureTestState 53.57
2024-07-12 17:27:15.558649 PressureTestState 20.8
2024-07-12 17:27:15.601625 PressureTestState 1.85
2024-07-12 17:27:15.639603 PressureTestState 4.26
2024-07-12 17:27:15.681580 PressureTestState 13.0
2024-07-12 17:27:15.721556 PressureTestState 12.28
2024-07-12 17:27:15.762543 PressureTestState 5.06
2024-07-12 17:27:15.801535 PressureTestState 9.35
2024-07-12 17:27:15.841488 PressureTestState 91.67
2024-07-12 17:27:15.885463 PressureTestState 15.0
2024-07-12 17:27:15.924445 PressureTestState 15.42
2024-07-12 17:27:15.965441 PressureTestState 5.17
2024-07-12 17:27:16.003395 PressureTestState 33.57
2024-07-12 17:27:16.042387 PressureTestState 75.0
2024-07-12 17:27:16.084349 PressureTestState 14.41
2024-07-12 17:27:16.122351 PressureTestState 4.31
2024-07-12 17:27:16.162306 PressureTestState 21.96
2024-07-12 17:27:16.211276 PressureTestState 1.68
2024-07-12 17:27:16.265246 PressureTestState 18.33
2024-07-12 17:27:16.308221 PressureTestState 5.8
2024-07-12 17:27:16.345200 PressureTestState 3.68
2024-07-12 17:27:16.392182 PressureTestState 18.27
2024-07-12 17:27:16.430169 PressureTestState 7.74
2024-07-12 17:27:16.464132 PressureTestState 5.04
2024-07-12 17:27:16.503109 PressureTestState 22.34
2024-07-12 17:27:16.542087 PressureTestState 13.1
2024-07-12 17:27:16.585063 PressureTestState 109.09
2024-07-12 17:27:16.622041 PressureTestState 6.9
2024-07-12 17:27:16.658045 PressureTestState 5.14
2024-07-12 17:27:16.702019 PressureTestState 54.17
2024-07-12 17:27:16.740974 PressureTestState 4.17
2024-07-12 17:27:16.782949 PressureTestState 11.34
2024-07-12 17:27:16.821926 PressureTestState 23.91
2024-07-12 17:27:16.865902 PressureTestState 17.21
2024-07-12 17:27:16.907878 PressureTestState 8.82
2024-07-12 17:27:16.947855 PressureTestState 2.11
2024-07-12 17:27:16.991829 PressureTestState 2.7
